Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
2.38,-23.8634,-21.88066667,-42.130452
2.39,-23.8881,-21.9285,-42.213206
2.4,-23.91376667,-21.97683333,-42.2974
2.41,-23.93943333,-22.02516667,-42.38221
2.42,-23.97458621,-22.07996552,-42.469736
2.43,-24.0107931,-22.13548276,-42.558144
2.44,-24.047,-22.191,-42.646552
2.45,-24.09166667,-22.24933333,-42.73496
2.46,-24.13633333,-22.30766667,-42.82692
2.47,-24.181,-22.366,-42.91944
2.48,-24.23533333,-22.42766667,-43.014792
2.49,-24.28966667,-22.48933333,-43.110396
2.5,-24.344,-22.551,-43.2135
2.51,-24.40833333,-22.61633333,-43.316548
2.52,-24.47266667,-22.68166667,-43.410096
2.53,-24.537,-22.747,-43.502594
2.54,-24.61133333,-22.81433333,-43.583292
2.55,-24.68566667,-22.88166667,-43.66168
2.56,-24.76,-22.949,-43.725416
2.57,-24.84758621,-23.02037931,-43.787094
2.58,-24.93517241,-23.09175862,-43.840036
2.59,-25.02353333,-23.1629,-43.88819
2.6,-25.11886667,-23.2319,-43.9216
2.61,-25.2142,-23.3009,-43.989352
2.62,-25.3106,-23.3698,-44.137384
2.63,-25.4166,-23.4378,-44.28396
2.64,-25.5226,-23.5058,-44.42788
2.65,-25.62976667,-23.57353333,-44.5466
2.66,-25.74743333,-23.63886667,-44.62884
2.67,-25.8651,-23.7042,-44.706796
2.68,-25.98437931,-23.76924138,-44.779784
2.69,-26.11817241,-23.83165517,-44.842132
2.7,-26.25196552,-23.89406897,-44.89456
2.71,-26.38713333,-23.95473333,-44.92435
2.72,-26.5278,-24.0084,-44.9372
2.73,-26.66846667,-24.06206667,-44.975166
2.74,-26.81146667,-24.1138,-45.028108
2.75,-26.9638,-24.1578,-45.04955
2.76,-27.11613333,-24.2018,-45.056232
2.77,-27.27073333,-24.24353333,-45.076522
2.78,-27.4344,-24.2762,-45.101708
2.79,-27.59806667,-24.30886667,-45.106188
2.8,-27.76486207,-24.3387931,-45.10516
2.81,-27.94417241,-24.35775862,-45.095886
2.82,-28.12348276,-24.37672414,-45.085092
2.83,-28.3033,-24.3908,-45.07476
2.84,-28.4843,-24.39346667,-45.06448
2.85,-28.6653,-24.39613333,-45.01892
2.86,-28.84732,-24.39392,-44.971968
2.87,-29.03172,-24.38032,-44.967856
2.88,-29.21612,-24.36672,-44.960352
2.89,-29.39924,-24.34128,-44.901756
2.9,-29.58204,-24.31288,-44.83854
2.91,-29.76268,-24.27992,-44.740366
2.92,-29.93828,-24.23632,-44.653368
2.93,-30.11388,-24.19272,-44.620472
2.94,-30.28266667,-24.13566667,-44.575976
2.95,-30.44975,-24.07525,-44.49168
2.96,-30.60408,-24.01036,-44.395432
2.97,-30.73928,-23.93876,-44.268474
2.98,-30.87448,-23.86716,-44.1668
2.99,-30.97764,-23.78476,-44.1154
3,-31.07724,-23.70116,-44.046
3.01,-31.15844,-23.61356,-43.94834
3.02,-31.21204,-23.51996,-43.83244
3.03,-31.26564,-23.42636,-43.69366
3.04,-31.27136,-23.32556,-43.595328
3.05,-31.27176,-23.22396,-43.53776
3.06,-31.2576,-23.1206,-43.45946
3.07,-31.204,-23,-43.36437
3.08,-31.133,-22.888,-43.246816
3.09,-31.039,-22.775,-43.114718
3.1,-30.926,-22.659,-43.05198
3.11,-30.793,-22.542,-43.024738
3.12,-30.643,-22.424,-42.978728
3.13,-30.476,-22.305,-42.925272
3.14,-30.294,-22.1845,-42.842116
3.15,-30.1,-22.0635,-42.75011
3.16,-29.894,-21.9425,-42.05220802
3.17,-29.6775,-21.821,-41.22569603
3.18,-29.452,-21.699,-40.39150003
3.19,-29.20477778,-21.56966667,-39.55625003
3.2,-28.9514,-21.4412,-38.82660003
3.21,-28.7006,-21.3182,-38.10443003
3.22,-28.4412,-21.1946,-38.273292
3.23,-28.1722,-21.07,-38.46352402
3.24,-27.8926,-20.9438,-38.89631202
3.25,-27.6008,-20.8162,-39.33155002
3.26,-27.2966,-20.6858,-39.78952401
3.27,-26.9762,-20.5524,-40.196798
