Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_3 []"
8.027613412,-25.947,-25.433,-25.871,-25.3986,-26.384
8.047337278,-25.87,-25.477,-25.905,-25.4286,-26.414
8.067061144,-25.89,-25.524,-25.938,-25.4586,-26.444
8.08678501,-25.944,-25.574,-25.972,-25.4906,-26.476
8.106508876,-25.997,-25.625,-26.005,-25.5236,-26.509
8.126232742,-26.046,-25.661,-26.037,-25.5586,-26.544
8.145956607,-26.091,-25.619,-26.068,-25.5966,-26.582
8.165680473,-26.134,-25.472,-26.097,-25.6346,-26.62
8.185404339,-26.176,-25.378,-26.124,-25.6756,-26.661
8.205128205,-26.217,-25.417,-26.148,-25.7186,-26.704
8.224852071,-26.262,-25.492,-26.173,-25.7656,-26.751
8.244575937,-26.302,-25.56,-26.192,-25.8076,-26.793
8.264299803,-26.348,-25.626,-26.215,-25.8546,-26.84
8.284023669,-26.393,-25.687,-26.238,-25.8986,-26.884
8.303747535,-26.435,-25.742,-26.26,-25.9386,-26.924
8.3234714,-26.486,-25.799,-26.291,-25.9786,-26.964
8.343195266,-26.533,-25.849,-26.328,-26.0176,-27.003
8.362919132,-26.578,-25.89,-26.366,-26.0556,-27.041
8.382642998,-26.631,-25.938,-26.415,-26.1036,-27.089
