Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []"
6.284046693,-22.906,-22.645,-21.917,-38.553
6.303501946,-22.904,-22.673,-21.919,-38.461
6.322957198,-22.901,-22.705,-21.922,-38.378
6.342412451,-22.892,-22.73,-21.918,-38.285
6.361867704,-22.889,-22.767,-21.92,-38.222
6.381322957,-22.875,-22.793,-21.913,-38.137
6.40077821,-22.869,-22.831,-21.914,-38.088
6.420233463,-22.856,-22.862,-21.908,-38.024
6.439688716,-22.845,-22.896,-21.903,-37.978
6.459143969,-22.833,-22.931,-21.898,-37.938
6.478599222,-22.817,-22.963,-21.889,-37.894
6.498054475,-22.809,-23.001,-21.887,-37.88
6.517509728,-22.789,-23.029,-21.873,-37.84
6.536964981,-22.785,-23.071,-21.873,-37.851
6.556420233,-22.77,-23.102,-21.863,-37.837
6.575875486,-22.763,-23.14,-21.86,-37.852
6.595330739,-22.753,-23.174,-21.853,-37.866
6.614785992,-22.741,-23.204,-21.844,-37.876
6.634241245,-22.735,-23.238,-21.839,-37.907
6.653696498,-22.73,-23.271,-21.835,-37.945
6.673151751,-22.728,-23.303,-21.832,-37.993
6.692607004,-22.729,-23.336,-21.832,-38.051
6.712062257,-22.731,-23.366,-21.832,-38.112
6.73151751,-22.736,-23.397,-21.835,-38.184
6.750972763,-22.747,-23.428,-21.842,-38.268
6.770428016,-22.757,-23.456,-21.848,-38.352
6.789883268,-22.772,-23.485,-21.858,-38.446
6.809338521,-22.797,-23.515,-21.876,-38.556
6.828793774,-22.807,-23.535,-21.88,-38.645
6.848249027,-22.839,-23.564,-21.905,-38.767
6.86770428,-22.86,-23.585,-21.919,-38.874
6.887159533,-22.892,-23.607,-21.944,-38.995
6.906614786,-22.925,-23.628,-21.968,-39.119
6.926070039,-22.957,-23.645,-21.992,-39.239
6.945525292,-23.001,-23.665,-22.027,-39.375
6.964980545,-23.033,-23.676,-22.05,-39.495
6.984435798,-23.088,-23.696,-22.097,-39.641
7.003891051,-23.13,-23.707,-22.129,-39.772
7.023346304,-23.186,-23.721,-22.176,-39.915
7.042801556,-23.239,-23.731,-22.22,-40.055
7.062256809,-23.295,-23.741,-22.266,-40.195
7.081712062,-23.359,-23.751,-22.32,-40.341
7.101167315,-23.415,-23.754,-22.366,-40.478
7.120622568,-23.489,-23.765,-22.43,-40.629
7.140077821,-23.55,-23.766,-22.481,-40.768
7.159533074,-23.672,-23.775,-22.538,-40.906
7.178988327,-23.832,-23.783,-22.599,-41.051
7.19844358,-23.893,-23.788,-22.657,-41.198
7.217898833,-23.764,-23.791,-22.701,-41.341
7.237354086,-23.732,-23.796,-22.759,-41.473
7.256809339,-23.716,-23.793,-22.812,-41.598
7.276264591,-23.76,-23.794,-22.879,-41.71
7.295719844,-23.816,-23.789,-22.943,-41.813
7.315175097,-23.885,-23.788,-23.015,-41.903
7.33463035,-23.951,-23.783,-23.083,-41.983
7.354085603,-24.023,-23.781,-23.156,-42.051
7.373540856,-24.093,-23.776,-23.227,-42.109
7.392996109,-24.163,-23.772,-23.299,-42.155
7.412451362,-24.232,-23.767,-23.369,-42.191
7.431906615,-24.304,-23.767,-23.445,-42.216
7.451361868,-24.375,-23.767,-23.518,-42.23
7.470817121,-24.442,-23.763,-23.589,-42.236
7.490272374,-24.514,-23.767,-23.664,-42.23
7.509727626,-24.58,-23.767,-23.735,-42.215
7.529182879,-24.647,-23.77,-23.807,-42.191
7.548638132,-24.714,-23.776,-23.88,-42.158
7.568093385,-24.779,-23.783,-23.951,-42.115
7.587548638,-24.843,-23.79,-24.021,-42.064
7.607003891,-24.906,-23.801,-24.091,-42.005
7.626459144,-24.969,-23.816,-24.163,-41.939
7.645914397,-25.029,-23.832,-24.232,-41.864
7.66536965,-25.084,-23.845,-24.298,-41.782
7.684824903,-25.141,-23.865,-24.367,-41.694
7.704280156,-25.196,-23.882,-24.433,-41.599
7.723735409,-25.26,-23.907,-24.502,-41.499
7.743190661,-25.327,-23.927,-24.568,-41.393
7.762645914,-25.424,-23.956,-24.64,-41.287
7.782101167,-25.503,-23.977,-24.707,-41.172
7.80155642,-25.541,-24.007,-24.77,-41.063
7.821011673,-25.576,-24.038,-24.787,-40.962
7.840466926,-25.612,-24.071,-24.693,-40.873
7.859922179,-25.649,-24.107,-24.544,-40.806
7.879377432,-25.688,-24.148,-24.561,-40.775
7.898832685,-25.721,-24.183,-24.579,-40.738
7.918287938,-25.756,-24.226,-24.65,-40.741
7.937743191,-25.787,-24.266,-24.71,-40.737
7.957198444,-25.819,-24.311,-24.764,-40.747
7.976653696,-25.847,-24.355,-24.81,-40.75
7.996108949,-25.875,-24.401,-24.851,-40.753
8.015564202,-25.899,-24.445,-24.887,-40.75
8.035019455,-25.924,-24.494,-24.921,-40.752
8.054474708,-25.949,-24.543,-24.952,-40.758
8.073929961,-25.972,-24.594,-24.982,-40.771
8.093385214,-25.995,-24.645,-25.011,-40.791
8.112840467,-26.019,-24.696,-25.039,-40.82
8.13229572,-26.043,-24.749,-25.066,-40.86
8.151750973,-26.067,-24.801,-25.094,-40.911
8.171206226,-26.094,-24.856,-25.122,-40.978
8.190661479,-26.115,-24.909,-25.151,-41.053
8.210116732,-26.122,-24.962,-25.179,-41.139
8.229571984,-26.1,-25.014,-25.207,-41.234
8.249027237,-26.072,-25.069,-25.239,-41.353
8.26848249,-26.102,-25.122,-25.273,-41.404
8.287937743,-26.15,-25.175,-25.307,-41.389
8.307392996,-26.197,-25.226,-25.344,-41.395
8.326848249,-26.238,-25.277,-25.383,-41.597
8.346303502,-26.279,-25.329,-25.431,-41.773
8.365758755,-26.319,-25.379,-25.484,-41.94
8.385214008,-26.358,-25.428,-25.546,-42.106
8.404669261,-26.396,-25.475,-25.62,-42.277
8.424124514,-26.438,-25.522,-25.719,-42.462
8.443579767,-26.481,-25.569,-25.812,-42.653
8.463035019,-26.523,-25.613,-25.839,-42.829
8.482490272,-26.567,-25.656,-25.746,-42.947
8.501945525,-26.616,-25.699,-25.678,-42.99
8.521400778,-26.666,-25.739,-25.672,-43.024
8.540856031,-26.718,-25.777,-25.698,-43.082
8.560311284,-26.775,-25.814,-25.742,-43.169
8.579766537,-26.836,-25.849,-25.79,-43.269
8.59922179,-26.904,-25.882,-25.842,-43.376
8.618677043,-26.982,-25.913,-25.897,-43.485
8.638132296,-27.073,-25.941,-25.952,-43.593
8.657587549,-27.19,-25.967,-26.011,-43.7
8.677042802,-27.329,-25.991,-26.07,-43.803
8.696498054,-27.432,-26.013,-26.131,-43.903
8.715953307,-27.386,-26.034,-26.196,-44
8.73540856,-27.298,-26.051,-26.258,-44.089
8.754863813,-27.293,-26.069,-26.326,-44.175
8.774319066,-27.323,-26.085,-26.394,-44.254
8.793774319,-27.373,-26.098,-26.462,-44.326
8.813229572,-27.435,-26.109,-26.533,-44.39
8.832684825,-27.511,-26.121,-26.611,-44.449
8.852140078,-27.575,-26.125,-26.679,-44.496
8.871595331,-27.648,-26.132,-26.755,-44.536
8.891050584,-27.723,-26.136,-26.831,-44.568
8.910505837,-27.79,-26.133,-26.899,-44.589
8.929961089,-27.873,-26.139,-26.981,-44.608
8.949416342,-27.945,-26.136,-27.053,-44.615
8.968871595,-28.022,-26.136,-27.126,-44.624
8.988326848,-28.1,-26.136,-27.199,-44.63
9.007782101,-28.169,-26.126,-27.263,-44.622
9.027237354,-28.245,-26.123,-27.333,-44.638
9.046692607,-28.319,-26.119,-27.427,-44.684
9.06614786,-28.393,-26.116,-27.554,-44.776
9.085603113,-28.464,-26.112,-27.674,-44.814
9.105058366,-28.539,-26.109,-27.776,-44.741
9.124513619,-28.631,-26.105,-27.865,-44.651
9.143968872,-28.762,-26.102,-27.95,-44.59
9.163424125,-28.908,-26.098,-28.033,-44.553
9.182879377,-29.03,-26.093,-28.115,-44.526
9.20233463,-29.112,-26.088,-28.196,-44.511
9.221789883,-29.183,-26.083,-28.276,-44.5
9.241245136,-29.253,-26.083,-28.355,-44.493
9.260700389,-29.322,-26.092,-28.433,-44.49
9.280155642,-29.392,-26.104,-28.51,-44.492
9.299610895,-29.462,-26.118,-28.585,-44.496
9.319066148,-29.53,-26.132,-28.658,-44.502
9.338521401,-29.598,-26.148,-28.729,-44.514
9.357976654,-29.664,-26.164,-28.798,-44.529
9.377431907,-29.728,-26.182,-28.865,-44.546
9.39688716,-29.791,-26.203,-28.93,-44.571
9.416342412,-29.85,-26.226,-28.992,-44.597
9.435797665,-29.906,-26.25,-29.052,-44.629
9.455252918,-29.955,-26.28,-29.111,-44.679
9.474708171,-29.997,-26.31,-29.166,-44.74
9.494163424,-30.019,-26.342,-29.219,-44.831
9.513618677,-30.025,-26.373,-29.268,-44.941
9.53307393,-29.995,-26.413,-29.312,-45.053
9.552529183,-29.951,-26.445,-29.351,-45.146
9.571984436,-30.009,-26.492,-29.359,-45.248
9.591439689,-30.069,-26.53,-29.36,-45.333
9.610894942,-30.163,-26.575,-29.371,-45.435
9.630350195,-30.243,-26.622,-29.416,-45.543
9.649805447,-30.307,-26.673,-29.471,-45.663
9.6692607,-30.363,-26.724,-29.52,-45.79
9.688715953,-30.412,-26.777,-29.566,-45.924
9.708171206,-30.457,-26.833,-29.61,-46.068
9.727626459,-30.5,-26.891,-29.652,-46.224
9.747081712,-30.542,-26.951,-29.695,-46.388
9.766536965,-30.585,-27.012,-29.738,-46.564
9.785992218,-30.628,-27.075,-29.782,-46.755
9.805447471,-30.673,-27.139,-29.828,-46.966
9.824902724,-30.72,-27.204,-29.876,-47.208
9.844357977,-30.771,-27.271,-29.927,-47.502
9.86381323,-30.826,-27.339,-29.981,-47.895
9.883268482,-30.885,-27.409,-30.038,-48.403
9.902723735,-30.95,-27.48,-30.098,-48.653
9.922178988,-31.019,-27.552,-30.162,-48.249
9.941634241,-31.089,-27.625,-30.23,-47.989
9.961089494,-31.152,-27.698,-30.301,-47.998
9.980544747,-31.175,-27.773,-30.376,-48.114
