Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3_1 []"
3.6,-14.81095556,-21.16071111,-34.21352
3.61,-14.78473333,-21.14026667,-34.245902
3.62,-14.75957778,-21.12186667,-34.278896
3.63,-14.73602222,-21.10653333,-34.315904
3.64,-14.71246667,-21.0912,-34.356176
3.65,-14.68891111,-21.07586667,-34.41066
3.66,-14.66535556,-21.06053333,-34.46254
3.67,-14.64377273,-21.04897727,-34.50623
3.68,-14.62240909,-21.03784091,-34.550224
3.69,-14.60104545,-21.02670455,-34.594942
3.7,-14.57968182,-21.01556818,-34.64614
3.71,-14.55966667,-21.00666667,-34.709362
3.72,-14.541,-21,-34.768632
3.73,-14.52233333,-20.99333333,-34.822088
3.74,-14.50366667,-20.98666667,-34.874836
3.75,-14.485,-20.98,-34.92675
3.76,-14.46855556,-20.97688889,-34.988168
3.77,-14.45211111,-20.97377778,-35.058586
3.78,-14.43566667,-20.97066667,-35.12404
3.79,-14.41922222,-20.96755556,-35.18572
3.8,-14.4035,-20.96588636,-35.24516
3.81,-14.3885,-20.96565909,-35.303242
3.82,-14.3735,-20.96543182,-35.372112
3.83,-14.3585,-20.96520455,-35.446128
3.84,-14.34366667,-20.9652,-35.51488
3.85,-14.33033333,-20.9672,-35.5817
3.86,-14.317,-20.9692,-35.644884
3.87,-14.30366667,-20.9712,-35.707078
3.88,-14.29033333,-20.9732,-35.779208
3.89,-14.27793333,-20.97626667,-35.853224
3.9,-14.26615556,-20.98004444,-35.92218
3.91,-14.25437778,-20.98382222,-35.990542
3.92,-14.2426,-20.9876,-36.054024
3.93,-14.23086364,-20.99145455,-36.117274
3.94,-14.2195,-20.996,-36.187692
3.95,-14.20813636,-21.00054545,-36.25781
3.96,-14.19677273,-21.0055,-36.323088
3.97,-14.18540909,-21.0105,-36.387844
3.98,-14.17469565,-21.01534783,-36.448496
3.99,-14.16426087,-21.02013043,-36.50932
4,-14.15381818,-21.025,-36.571
4.01,-14.14336364,-21.03,-36.631768
4.02,-14.13290909,-21.03490909,-36.689336
4.03,-14.12245455,-21.03945455,-36.74591
4.04,-14.112,-21.044,-36.79988
4.05,-14.102,-21.04791304,-36.85215
4.06,-14.092,-21.05182609,-36.90098
4.07,-14.08168182,-21.05554545,-36.948622
4.08,-14.07122727,-21.05918182,-36.994368
4.09,-14.06077273,-21.06236364,-37.038532
4.1,-14.05031818,-21.06509091,-37.08068
4.11,-14.03972727,-21.06740909,-37.11851
4.12,-14.02881818,-21.06877273,-37.15192
4.13,-14.01795652,-21.07004348,-37.183356
4.14,-14.00752174,-21.07047826,-37.213168
4.15,-13.99708696,-21.07091304,-37.24112
4.16,-13.98590909,-21.06990909,-37.267848
4.17,-13.97454545,-21.06854545,-37.28714
4.18,-13.96290909,-21.06636364,-37.30256
4.19,-13.95109091,-21.06363636,-37.315052
4.2,-13.93930435,-21.06026087,-37.32636
4.21,-13.92756522,-21.05591304,-37.335698
4.22,-13.91572727,-21.05131818,-37.344436
4.23,-13.903,-21.0445,-37.343468
4.24,-13.89027273,-21.03768182,-37.340384
4.25,-13.87713636,-21.02922727,-37.3328
4.26,-13.86395455,-21.02059091,-37.324576
4.27,-13.85056522,-21.01069565,-37.313962
4.28,-13.83708696,-21.00026087,-37.303168
4.29,-13.823,-20.98827273,-37.283266
4.3,-13.808,-20.97395455,-37.263
4.31,-13.793,-20.95963636,-37.2373
4.32,-13.778,-20.94531818,-37.210976
4.33,-13.763,-20.931,-37.178594
4.34,-13.747,-20.91211111,-37.145452
4.35,-13.731,-20.89322222,-37.10793
4.36,-13.715,-20.87433333,-37.06916
4.37,-13.699,-20.85544444,-37.02547
4.38,-13.68222222,-20.83411111,-36.980592
4.39,-13.66466667,-20.81033333,-36.932276
4.4,-13.64711111,-20.78655556,-36.88252
4.41,-13.62955556,-20.76277778,-36.829578
4.42,-13.612,-20.739,-36.774944
4.43,-13.59268182,-20.71013636,-36.717376
4.44,-13.57336364,-20.68127273,-36.658296
4.45,-13.55404545,-20.65240909,-36.59713
4.46,-13.53472727,-20.62354545,-36.534256
4.47,-13.51473333,-20.5924,-36.469492
4.48,-13.49428889,-20.55973333,-36.403368
4.49,-13.47384444,-20.52706667,-36.336034
4.5,-13.4534,-20.4944,-36.2669
4.51,-13.43286667,-20.46137778,-36.196482
4.52,-13.41153333,-20.42515556,-36.125408
4.53,-13.3902,-20.38893333,-36.053962
4.54,-13.36886667,-20.35271111,-35.981092
4.55,-13.34753333,-20.31648889,-35.90759
4.56,-13.32509091,-20.27786364,-35.833704
4.57,-13.30190909,-20.23763636,-35.759688
4.58,-13.27872727,-20.19740909,-35.685672
4.59,-13.25554545,-20.15718182,-35.611656
4.6,-13.23233333,-20.11673333,-35.53764
4.61,-13.209,-20.0754,-35.463624
4.62,-13.18566667,-20.03406667,-35.391012
4.63,-13.16233333,-19.99273333,-35.318538
4.64,-13.139,-19.9514,-35.246064
4.65,-13.11481818,-19.90877273,-35.17367
4.66,-13.09027273,-19.86559091,-35.105308
4.67,-13.06626087,-19.82313043,-35.036908
4.68,-13.04278261,-19.7813913,-34.968032
4.69,-13.01918182,-19.73918182,-34.90008
4.7,-12.99509091,-19.69509091,-34.8384
4.71,-12.971,-19.651,-34.776438
4.72,-12.94645455,-19.60736364,-34.713216
4.73,-12.92190909,-19.56372727,-34.652312
4.74,-12.89736364,-19.52009091,-34.598856
4.75,-12.87281818,-19.47645455,-34.5439
4.76,-12.84917391,-19.43421739,-34.485304
4.77,-12.82613043,-19.39291304,-34.430268
4.78,-12.80304545,-19.35131818,-34.381952
4.79,-12.77986364,-19.30904545,-34.335284
4.8,-12.75668182,-19.26686364,-34.29108
4.81,-12.7335,-19.2255,-34.249684
4.82,-12.71031818,-19.18413636,-34.211648
4.83,-12.68925,-19.14625,-34.177018
4.84,-12.66709091,-19.10636364,-34.145664
4.85,-12.64436364,-19.06654545,-34.11692
4.86,-12.62209091,-19.02745455,-34.090192
4.87,-12.59990909,-18.98836364,-34.066644
4.88,-12.57745455,-18.94954545,-34.045056
4.89,-12.55583333,-18.91216667,-34.026928
4.9,-12.535,-18.878,-34.01048
4.91,-12.51136364,-18.84072727,-33.998894
4.92,-12.48772727,-18.80427273,-33.989128
4.93,-12.46263636,-18.76790909,-33.990216
4.94,-12.43654545,-18.73154545,-33.994328
4.95,-12.40909091,-18.69518182,-33.98726
4.96,-12.38125,-18.66075,-33.978008
4.97,-12.35272727,-18.62736364,-33.989824
4.98,-12.32181818,-18.59190909,-34.004216
4.99,-12.29072727,-18.55654545,-34.005486
5,-12.258,-18.522,-34.006
5.01,-12.22569231,-18.48815385,-34.030672
5.02,-12.19392308,-18.45538462,-34.05456
5.03,-12.16357143,-18.42428571,-34.06484
5.04,-12.135,-18.395,-34.077472
5.05,-12.10653846,-18.365,-34.10934
5.06,-12.079,-18.337,-34.139276
5.07,-12.05171429,-18.30871429,-34.159322
5.08,-12.02564,-18.28156,-34.183288
5.09,-12.00204,-18.25716,-34.221324
5.1,-11.97844,-18.23276,-34.2567
5.11,-11.95604,-18.2098,-34.28497
5.12,-11.93444,-18.1878,-34.31828
5.13,-11.91308,-18.166,-34.36197
5.14,-11.89388,-18.146,-34.402524
5.15,-11.87468,-18.126,-34.43799
5.16,-11.85644,-18.10744,-34.479056
5.17,-11.83884,-18.08984,-34.527372
5.18,-11.82129167,-18.072375,-34.572664
5.19,-11.80420833,-18.056125,-34.614812
5.2,-11.787125,-18.039875,-34.66256
5.21,-11.77192,-18.02548,-34.714988
5.22,-11.75752,-18.01188,-34.764644
5.23,-11.74328,-17.9986,-34.812446
5.24,-11.72968,-17.9866,-34.868984
5.25,-11.71608,-17.9746,-34.93015
5.26,-11.70332,-17.964,-34.989496
5.27,-11.69092,-17.954,-35.048092
5.28,-11.67884,-17.94432,-35.09924
5.29,-11.66804,-17.93592,-35.14807
5.3,-11.65724,-17.92752,-35.20908
5.31,-11.647,-17.92004167,-35.272816
5.32,-11.637,-17.91295833,-35.337896
5.33,-11.62736,-17.90644,-35.403174
5.34,-11.61856,-17.90124,-35.459884
5.35,-11.60976,-17.89604,-35.51591
5.36,-11.60192,-17.8918,-35.583528
5.37,-11.59432,-17.8878,-35.651502
5.38,-11.58708,-17.88428,-35.722948
5.39,-11.58068,-17.88188,-35.793658
5.4,-11.57428,-17.87948,-35.85688
5.41,-11.56884,-17.87804,-35.921286
5.42,-11.56364,-17.87684,-35.992732
5.43,-11.558625,-17.876,-36.0653
5.44,-11.55404167,-17.876,-36.1424
5.45,-11.54945833,-17.876,-36.21768
5.46,-11.54576,-17.87672,-36.287584
5.47,-11.54216,-17.87752,-36.359068
5.48,-11.53906667,-17.8788,-36.434112
5.49,-11.53673333,-17.8808,-36.511388
5.5,-11.5344,-17.8828,-36.5926
5.51,-11.53246667,-17.88506667,-36.671244
5.52,-11.53113333,-17.88773333,-36.746288
5.53,-11.5298,-17.8904,-36.8223
5.54,-11.52872414,-17.89351724,-36.8994
5.55,-11.52803448,-17.89731034,-36.97947
5.56,-11.52734483,-17.90110345,-37.062224
5.57,-11.527,-17.90516667,-37.141998
5.58,-11.527,-17.9095,-37.219612
5.59,-11.527,-17.91383333,-37.296248
5.6,-11.5275,-17.91833333,-37.37232
5.61,-11.5285,-17.923,-37.450162
5.62,-11.5295,-17.92766667,-37.528804
5.63,-11.53066667,-17.93266667,-37.604772
5.64,-11.532,-17.938,-37.679816
5.65,-11.53333333,-17.94333333,-37.75117
5.66,-11.535,-17.9485,-37.821588
5.67,-11.537,-17.9535,-37.889378
5.68,-11.539,-17.9585,-37.956712
5.69,-11.54103448,-17.96375862,-38.021716
5.7,-11.54310345,-17.96927586,-38.08648
5.71,-11.54517241,-17.9747931,-38.145316
5.72,-11.54735,-17.98,-38.203776
5.73,-11.5496,-17.985,-38.253634
5.74,-11.55185,-17.99,-38.303348
5.75,-11.5541,-17.995,-38.35115
5.76,-11.55635,-17.9991,-38.397032
5.77,-11.5586,-18.0026,-38.429414
5.78,-11.56085,-18.0061,-38.461428
5.79,-11.5631,-18.0096,-38.491754
5.8,-11.56538462,-18.01223077,-38.51908
5.81,-11.56769231,-18.01428205,-38.536556
5.82,-11.57,-18.01633333,-38.55196
5.83,-11.57230769,-18.01838462,-38.56224
5.84,-11.574225,-18.019175,-38.56988
5.85,-11.575975,-18.019425,-38.57245
5.86,-11.577725,-18.019675,-38.570736
5.87,-11.579475,-18.019925,-38.562512
5.88,-11.580875,-18.018775,-38.552432
5.89,-11.582125,-18.017025,-38.540096
5.9,-11.583375,-18.015275,-38.52152
5.91,-11.584625,-18.013525,-38.496848
5.92,-11.58517949,-18.01030769,-38.470448
5.93,-11.5854359,-18.00646154,-38.442692
5.94,-11.58569231,-18.00261538,-38.40988
5.95,-11.58594872,-17.99876923,-38.3739
5.96,-11.5854,-17.993,-38.334824
5.97,-11.58465,-17.98675,-38.294218
5.98,-11.5839,-17.9805,-38.250636
5.99,-11.58315,-17.97425,-38.205918
6,-11.5816,-17.966,-38.1576
6.01,-11.57985,-17.95725,-38.108256
